 INFO  Accepting connections at http://localhost:8099
 HTTP  4/26/2026 2:16:46 AM 172.19.0.1 GET /
 HTTP  4/26/2026 2:16:46 AM 172.19.0.1 Returned 200 in 42 ms
 HTTP  4/26/2026 2:16:46 AM 172.19.0.1 GET /assets/index-CWLtjpOi.js
 HTTP  4/26/2026 2:16:46 AM 172.19.0.1 GET /assets/index-DR8Hnp5u.css
 HTTP  4/26/2026 2:16:46 AM 172.19.0.1 Returned 200 in 5 ms
 HTTP  4/26/2026 2:16:46 AM 172.19.0.1 Returned 200 in 9 ms
 HTTP  4/26/2026 2:16:49 AM 127.0.0.1 HEAD /
 HTTP  4/26/2026 2:16:49 AM 127.0.0.1 Returned 200 in 4 ms
 HTTP  4/26/2026 2:16:53 AM 172.19.0.1 GET /
 HTTP  4/26/2026 2:16:53 AM 172.19.0.1 Returned 304 in 3 ms
 HTTP  4/26/2026 2:16:53 AM 172.19.0.1 GET /assets/index-CWLtjpOi.js
 HTTP  4/26/2026 2:16:53 AM 172.19.0.1 GET /assets/index-DR8Hnp5u.css
 HTTP  4/26/2026 2:16:53 AM 172.19.0.1 Returned 304 in 4 ms
 HTTP  4/26/2026 2:16:53 AM 172.19.0.1 Returned 304 in 3 ms
 HTTP  4/26/2026 2:18:25 AM 172.19.0.1 GET /
 HTTP  4/26/2026 2:18:25 AM 172.19.0.1 Returned 304 in 2 ms
 HTTP  4/26/2026 2:18:25 AM 172.19.0.1 GET /assets/index-CWLtjpOi.js
 HTTP  4/26/2026 2:18:25 AM 172.19.0.1 GET /assets/index-DR8Hnp5u.css
 HTTP  4/26/2026 2:18:25 AM 172.19.0.1 Returned 304 in 3 ms
 HTTP  4/26/2026 2:18:25 AM 172.19.0.1 Returned 304 in 3 ms
 HTTP  4/26/2026 2:18:26 AM 172.19.0.1 GET /
 HTTP  4/26/2026 2:18:26 AM 172.19.0.1 Returned 304 in 2 ms
 HTTP  4/26/2026 2:18:26 AM 172.19.0.1 GET /assets/index-DR8Hnp5u.css
 HTTP  4/26/2026 2:18:26 AM 172.19.0.1 GET /assets/index-CWLtjpOi.js
 HTTP  4/26/2026 2:18:26 AM 172.19.0.1 Returned 304 in 3 ms
 HTTP  4/26/2026 2:18:26 AM 172.19.0.1 Returned 304 in 3 ms
 HTTP  4/26/2026 2:19:10 AM 172.19.0.1 GET /
 HTTP  4/26/2026 2:19:10 AM 172.19.0.1 Returned 304 in 2 ms
